order_type,network_type,service_type,install_type,technology_type,product_type,action_type,task_name,orders_with_task,order_population,task_percentage,task_type
add,4GLTE,4G LTE,F,,4GLTE,NI,Product Order for 4G LTE,8127,8128,99.99,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Product Order for 4G LTE OTC,8110,8128,99.78,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Get Available TN in Alianza,7918,8128,97.42,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Calling Plans in Alianza,7900,8128,97.19,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Configure Caller ID in Alianza,7881,8128,96.96,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Create SIP profile in Alianza,7878,8128,96.92,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Retrieve SIP Credential from Alianza,7876,8128,96.9,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,4G LR Initiation,7850,8128,96.58,MANDATORY
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for CRD,7655,8128,94.18,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Get LNP Port Request Status,7635,8128,93.93,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Get TempTN Status from Alianza,6155,8128,75.73,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Account in AXON,6121,8128,75.31,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Trigger Port,6118,8128,75.27,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Update SIP Credentials in Alianza,6089,8128,74.91,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Create User in Alianza,6078,8128,74.78,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Update Voice Configuration in AXON,5933,8128,72.99,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Add PhoneNumber Temp TN,5914,8128,72.76,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Add Device to Location in AXON,5884,8128,72.39,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Location in AXON,5875,8128,72.28,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Add Voice Configuration in AXON,5874,8128,72.27,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Get TN Status from Alianza,5858,8128,72.07,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Account in Alianza,5851,8128,71.99,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Add PhoneNumber,5840,8128,71.85,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Customer Record,5810,8128,71.48,EXPECTED
add,4GLTE,4G LTE,F,,4GLTE,NI,Configure updated CallerID in Allianza,5548,8128,68.26,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,CE Self Install,5517,8128,67.88,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for AXON Provisioning Event,5476,8128,67.37,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Delete TN in Allianza,5468,8128,67.27,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Initiate Shipment,5097,8128,62.71,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for Shipment Confirmation,5087,8128,62.59,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for Delivery Confirmation,4876,8128,59.99,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Subscription Order in BRIM,3737,8128,45.98,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Update Correlation in Dispatch,3736,8128,45.96,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Notify Order Ready for Dispatch,3654,8128,44.96,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for Job Completion,3654,8128,44.96,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Update Subscription in BRIM,3293,8128,40.51,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Start Billing,2873,8128,35.35,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Create Dispatch Planning Job,2496,8128,30.71,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo:Create Customer Record in BOSS-OM,2300,8128,28.3,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Activate SIM,2268,8128,27.9,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo: Create Account in Alianza,2268,8128,27.9,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo: Add PhoneNumber,2061,8128,25.36,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo: Create User in Alianza,2031,8128,24.99,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Wait for Serial Number,1958,8128,24.09,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo: Add PhoneNumber Temp TN,1930,8128,23.75,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo:Create Dispatch Planning Job,1293,8128,15.91,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Forget Device in AXON,775,8128,9.53,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Undo: BRIM Cancel Pending Subscription,514,8128,6.32,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Remove Device from Location in AXON,505,8128,6.21,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Delete Location in AXON,350,8128,4.31,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Remove Voice Config in AXON,326,8128,4.01,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Configure updated CallerID in Alianza,298,8128,3.67,OPTIONAL
add,4GLTE,4G LTE,F,,4GLTE,NI,Delete Temp TN In Alianza,290,8128,3.57,OPTIONAL
